msisdn,called_number,call_time,duration,call_status,call_type
0512000001,+49172345678,2025-06-04 07:05:59,22,abouti,international
0512000001,0541200005,2025-06-01 12:56:37,10,abouti,national
0512000001,0541200003,2025-06-02 11:54:24,15,echoue,national
0512000003,0541200008,2025-06-04 22:41:43,26,abouti,national
0512000003,+34612345678,2025-06-01 20:29:43,23,abouti,international
0512000003,+44712345678,2025-06-02 19:55:28,15,abouti,international
0512000002,0543300001,2025-06-02 14:49:40,91,abouti,national
0512000003,+49176543210,2025-06-01 21:39:51,14,abouti,international
0512000003,0541200004,2025-06-03 19:33:47,11,abouti,national
0540100001,0669000002,2025-06-01 18:09:03,319,abouti,national
0512000002,+34612345678,2025-06-02 13:29:45,8,abouti,international
0512000001,+44712345678,2025-06-04 10:16:03,9,echoue,international
0512000001,0541200001,2025-06-01 11:52:39,17,abouti,national
0512000001,0541200007,2025-06-03 07:29:10,17,abouti,national
0512000001,+34612345678,2025-06-02 07:59:00,28,abouti,international
0512000001,0541200002,2025-06-01 10:58:55,22,abouti,national
0512000002,0541200002,2025-06-01 13:06:02,10,abouti,national
0512000003,+49172345678,2025-06-01 20:51:41,10,echoue,international
0512000003,+44789123456,2025-06-01 21:16:37,22,echoue,international
0512000001,+34698765432,2025-06-02 07:52:57,26,abouti,international
0512000003,0541200002,2025-06-01 19:07:22,14,abouti,national
0512000002,0541200003,2025-06-04 15:19:13,28,abouti,national
0512000001,+44789123456,2025-06-04 07:39:15,13,abouti,international
0512000002,+49176543210,2025-06-04 18:05:00,20,abouti,international
0512000003,0541200007,2025-06-04 21:34:28,10,echoue,national
0512000002,0541200004,2025-06-01 18:15:20,26,abouti,national
0512000001,0541200001,2025-06-02 10:40:16,16,abouti,national
0512000002,0541200004,2025-06-04 13:29:09,12,abouti,national
0512000001,0541200008,2025-06-04 11:38:59,21,abouti,national
0512000003,0541200005,2025-06-03 19:07:28,26,abouti,national
0512000002,0541200006,2025-06-03 16:11:24,27,echoue,national
0512000002,0541200001,2025-06-03 13:52:08,23,abouti,national
0512000001,0542200002,2025-06-04 08:05:13,28,abouti,national
0512000001,+49176543210,2025-06-04 07:06:25,11,abouti,international
0512000002,+34698765432,2025-06-03 13:22:19,19,abouti,international
0512000002,+34612345678,2025-06-01 16:44:08,22,abouti,international
